Track URI,Track Name,Artist URI,Artist Name,Artist Popularity,Artist Genres,Album,Track Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time Signature
spotify:track:0R6NfOiLzLj4O5VbYSJAjf,La Diabla,spotify:artist:3Me35AWHCGqW4sZ7bWWJt1,Xavi,86,['sad sierreno'],La Diabla,99,0.751,0.819,11,-4.372,0,0.0409,0.255,0.0,0.236,0.697,131.842,172264,3
spotify:track:3rUGC1vUpkDG9CZFHMur1t,greedy,spotify:artist:45dkTj5sMRSjrmBSBeiHym,Tate McRae,86,"['alt z', 'pop']",greedy,100,0.75,0.733,6,-3.18,0,0.0319,0.256,0.0,0.114,0.844,111.018,131872,1
spotify:track:6tNQ70jh4OwmPGpYy6R2o9,Beautiful Things,spotify:artist:22wbnEMDvgVIAGdFeek6ET,Benson Boone,79,['singer-songwriter pop'],Beautiful Things,96,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,180304,3
spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)",spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,95,"['canadian contemporary r&b', 'canadian pop', 'pop']",The Idol Episode 4 (Music from the HBO Original Series),99,0.522,0.641,8,-6.287,1,0.0318,0.0545,0.0,0.162,0.202,87.51,244685,4
spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,spotify:artist:06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,['pop'],Lover,99,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,178427,4
spotify:track:3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,spotify:artist:2uYWxilOVlUdk4oV9DvwqK,Mitski,84,"['brooklyn indie', 'pov: indie']",The Land Is Inhospitable and So Are We,99,0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,137773,4
spotify:track:0mflMxspEfB0VbI1kyLiAv,Stick Season,spotify:artist:2RQXRUsr4IW1f3mKyKsy4B,Noah Kahan,87,['pov: indie'],Stick Season,98,0.662,0.488,9,-6.894,1,0.0682,0.782,0.0,0.102,0.817,117.913,182347,4
spotify:track:52eIcoLUM25zbQupAZYoFh,redrum,spotify:artist:1URnnhqYAYcrqrcwql10ft,21 Savage,92,"['atl hip hop', 'hip hop', 'rap']",american dream,96,0.624,0.74,2,-8.445,1,0.0481,0.00529,0.000224,0.5,0.246,172.089,270698,4
spotify:track:4xhsWYTOGcal8zt0J161CU,Lovin On Me,spotify:artist:2LIk90788K0zvyj2JJVwkJ,Jack Harlow,84,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",Lovin On Me,99,0.943,0.558,2,-4.911,1,0.0568,0.0026,2.19e-06,0.0937,0.606,104.983,138411,4
spotify:track:7bywjHOc0wSjGGbj04XbVi,LUNA,spotify:artist:2LRoIwlKmHjgvigdNGBHNo,Feid,91,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",FERXXOCALIPSIS,97,0.774,0.86,7,-2.888,0,0.13,0.131,0.0,0.116,0.446,100.019,196800,4
spotify:track:7gaA3wERFkFkgivjwbSvkG,"yes, and?",spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,90,['pop'],"yes, and?",97,0.788,0.758,1,-6.513,1,0.0505,0.198,8.5e-05,0.104,0.823,119.008,214994,4
spotify:track:17phhZDn6oGtzMe56NuWvj,Lose Control,spotify:artist:33qOK5uJ8AR2xuQQAhHump,Teddy Swims,79,[],I've Tried Everything But Therapy (Part 1),93,0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,210689,3
spotify:track:6WzRpISELf3YglGAh7TXcG,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,95,"['canadian contemporary r&b', 'canadian pop', 'pop']",Popular (Music from the HBO Original Series),96,0.855,0.678,1,-6.276,1,0.189,0.0569,3.69e-05,0.412,0.852,99.029,215467,4
spotify:track:6XaJfhwof7qIgbbXO5tIQI,Igual Que Un Ángel (with Peso Pluma),spotify:artist:1U1el3k54VvEUzo3ybLPlM,Kali Uchis,87,['colombian pop'],ORQUÍDEAS,96,0.685,0.61,5,-5.36,0,0.0343,0.00348,0.00054,0.183,0.464,107.999,260371,4
spotify:track:5XVdHRf4CAJ2Jm0uMIy5qY,La Víctima,spotify:artist:3Me35AWHCGqW4sZ7bWWJt1,Xavi,86,['sad sierreno'],La Víctima,96,0.778,0.835,11,-3.598,0,0.0767,0.152,0.0,0.109,0.666,140.082,156346,4
spotify:track:4tKGFmENO69tZR9ahgZu48,Murder On The Dancefloor,spotify:artist:2cBh5lVMg222FFuRU7EfDE,Sophie Ellis-Bextor,74,"['dance pop', 'europop', 'new wave pop']",Read My Lips,94,0.73,0.849,1,-5.281,0,0.0299,0.00234,2.6e-05,0.312,0.887,117.31,230013,4
spotify:track:3U5JVgI2x4rDyHGObzJfNf,Unwritten,spotify:artist:7o95ZoZt5ZYn31e9z1Hc0a,Natasha Bedingfield,73,"['dance pop', 'pop', 'post-teen pop']",Unwritten,93,0.706,0.8,5,-6.333,1,0.0399,0.00584,0.0,0.0822,0.629,100.011,259333,4
spotify:track:3h5TiWTqGxjSjFrbruPFH9,Praise Jah In The Moonlight,spotify:artist:0n4Fao9kbjgM76RmVlfSwr,YG Marley,70,[],Praise Jah In The Moonlight,91,0.66,0.727,6,-4.028,0,0.0441,0.128,1.31e-05,0.524,0.418,125.023,263040,4
spotify:track:7iQXYTyuG13aoeHxGG28Nh,PERRO NEGRO,spotify:artist:4q3ewBCX7sLwd24euuV69X,Bad Bunny,95,"['reggaeton', 'trap latino', 'urbano latino']",nadie sabe lo que va a pasar mañana,96,0.911,0.778,5,-2.248,1,0.262,0.0887,2.16e-05,0.179,0.345,96.057,162768,4
spotify:track:5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,spotify:artist:7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,86,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",AM,96,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,183956,4
spotify:track:4OMJGnvZfDvsePyCwRGO7X,Houdini,spotify:artist:6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,87,"['dance pop', 'pop', 'uk pop']",Houdini,95,0.744,0.789,9,-4.876,0,0.059,0.0036,0.00144,0.0947,0.866,116.985,185918,4
spotify:track:6VciS3dRMpZhJiDxT8ArFi,"Young Miko: Bzrp Music Sessions, Vol. 58",spotify:artist:716NhGYqD1jl2wI1Qkgq36,Bizarrap,84,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']","Young Miko: Bzrp Music Sessions, Vol. 58",95,0.704,0.571,7,-8.212,0,0.156,0.588,0.0,0.117,0.443,96.016,190000,4
spotify:track:2HRgqmZQC0MC7GeNuDIXHN,Seven (feat. Latto) (Explicit Ver.),spotify:artist:6HaGTQPmzraVmaVxvz6EUc,Jung Kook,87,['k-pop'],GOLDEN,90,0.79,0.831,11,-4.185,1,0.044,0.312,0.0,0.0797,0.872,124.987,183551,4
spotify:track:05WVKTdZhlIMX4qqMLuo0f,BELLAKEO,spotify:artist:12GqGscKJx3aE4t07u7eVZ,Peso Pluma,92,"['corridos tumbados', 'sad sierreno']",BELLAKEO,95,0.72,0.88,9,-2.834,1,0.101,0.0562,0.06,0.153,0.463,180.011,197333,4
spotify:track:5mjYQaktjmjcMKcUIcqz4s,Strangers,spotify:artist:7uMDnSZyUYNBPLhPMNuaM2,Kenya Grace,75,['singer-songwriter pop'],Strangers,96,0.628,0.523,11,-8.307,0,0.0946,0.701,0.00274,0.219,0.416,169.982,172965,4
spotify:track:6uTPdRrEDeH8Fyg5L5qmeU,Never Lose Me,spotify:artist:08PvCOlef4xdOr20jFSTPd,Flo Milli,76,['viral rap'],Never Lose Me,93,0.781,0.567,1,-7.857,1,0.0969,0.0504,0.0,0.0981,0.0743,121.964,125902,4
spotify:track:7DSAEUvxU8FajXtRloy8M0,Flowers,spotify:artist:5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,84,['pop'],Endless Summer Vacation,95,0.706,0.691,0,-4.775,1,0.0633,0.0584,6.99e-05,0.0232,0.632,118.048,200600,4
spotify:track:56y1jOTK0XSvJzVv9vHQBK,Paint The Town Red,spotify:artist:5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,87,"['dance pop', 'pop']",Scarlet,87,0.864,0.556,2,-7.683,0,0.194,0.255,3.85e-06,0.112,0.726,99.974,230480,4
spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]",spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,88,"['art pop', 'pop']","What Was I Made For? [From The Motion Picture ""Barbie""]",95,0.444,0.0911,0,-17.665,1,0.0307,0.959,1.05e-06,0.098,0.142,78.403,222370,4
spotify:track:1kuGVB7EU95pJObxwvfwKS,vampire,spotify:artist:1McMsnEElThX1knmY4oliG,Olivia Rodrigo,88,['pop'],GUTS,95,0.511,0.532,5,-5.745,1,0.0578,0.177,0.0,0.291,0.35,138.005,219724,4
spotify:track:5RqSsdzTNPX1uzkmlHCFvK,QLONA,spotify:artist:790FomKkXshlbRYZFtlgla,KAROL G,89,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",MAÑANA SERÁ BONITO (BICHOTA SEASON),93,0.841,0.738,7,-7.455,0,0.307,0.52,0.0,0.0892,0.484,169.918,172798,4
spotify:track:7MXVkk9YMctZqd1Srtv4MB,Starboy,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,95,"['canadian contemporary r&b', 'canadian pop', 'pop']",Starboy,95,0.679,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.003,230453,4
spotify:track:0QZ5yyl6B6utIWkxeBDxQN,The Night We Met,spotify:artist:6ltzsmQQbmdoHHbLZ4ZN25,Lord Huron,75,"['indie folk', 'stomp and holler']",Strange Trails,83,0.545,0.366,2,-9.51,1,0.0378,0.969,0.267,0.641,0.1,86.997,208212,3
spotify:track:5aIVCx5tnk0ntmdiinnYvw,Water,spotify:artist:3SozjO3Lat463tQICI9LcE,Tyla,76,[],Water,95,0.673,0.722,3,-3.495,0,0.0755,0.0856,0.0,0.137,0.519,117.187,200256,4
spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,spotify:artist:6KImCVD70vtIoJWnq6nGn3,Harry Styles,84,['pop'],Harry's House,95,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,167303,4
spotify:track:4KULAymBBJcPRpk1yO4dOG,I Remember Everything (feat. Kacey Musgraves),spotify:artist:40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,87,['classic oklahoma country'],Zach Bryan,94,0.429,0.453,0,-7.746,1,0.0459,0.554,2e-06,0.102,0.155,77.639,227196,4
spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,SZA,89,"['pop', 'r&b', 'rap']",SOS,93,0.559,0.551,5,-7.231,1,0.132,0.141,0.0,0.11,0.392,143.008,201800,4
spotify:track:0nJW01T7XtvILxQgC5J7Wh,When I Was Your Man,spotify:artist:0du5cEVh5yTK9QJze8zA0C,Bruno Mars,88,"['dance pop', 'pop']",Unorthodox Jukebox,92,0.612,0.28,0,-8.648,1,0.0434,0.932,0.0,0.088,0.387,72.795,213827,4
spotify:track:6uIIdjYTxxpWOyWuVXrKQO,Que Onda,spotify:artist:6dLuQ5qXxIuWc5urxfIiZR,Calle 24,77,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']",Que Onda,94,0.808,0.944,10,-4.863,0,0.0408,0.183,1.11e-06,0.138,0.937,124.934,191467,3
spotify:track:3JvrhDOgAt6p7K8mDyZwRd,Riptide,spotify:artist:10exVja0key0uqUkk6LJRT,Vance Joy,76,"['folk-pop', 'modern rock']",Dream Your Life Away (Special Edition),86,0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654,204280,4
spotify:track:3AJwUDP919kvQ9QcozQPxg,Yellow,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,Coldplay,88,"['permanent wave', 'pop']",Parachutes,93,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,266773,4
spotify:track:3QQAeMQbbjZXVFbF8DgFWT,FIRST LOVE,spotify:artist:0FvHxb8a4I0A2i8jKCsFei,Oscar Ortiz,73,[],FIRST LOVE,92,0.694,0.588,2,-6.24,1,0.0565,0.358,0.0,0.299,0.794,73.929,169440,4
spotify:track:7BqBn9nzAq8spo5e7cZ0dJ,Just the Way You Are,spotify:artist:0du5cEVh5yTK9QJze8zA0C,Bruno Mars,88,"['dance pop', 'pop']",Doo-Wops & Hooligans,89,0.635,0.841,5,-5.379,1,0.0422,0.0134,0.0,0.0622,0.424,109.021,220734,4
spotify:track:1odExI7RdWc4BT515LTAwj,Daylight,spotify:artist:33NVpKoXjItPwUJTMZIOiY,David Kushner,78,"['gen z singer-songwriter', 'singer-songwriter pop']",Daylight,94,0.508,0.43,2,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,130.09,212954,4
spotify:track:2KslE17cAJNHTsI2MI0jb2,Standing Next to You,spotify:artist:6HaGTQPmzraVmaVxvz6EUc,Jung Kook,87,['k-pop'],GOLDEN,96,0.711,0.809,2,-4.389,0,0.0955,0.0447,0.0,0.339,0.816,106.017,206020,4
spotify:track:7iUtQNMRB8ZkKC4AmEuCJC,LA FALDA,spotify:artist:7iK8PXO48WeuP03g8YR51W,Myke Towers,86,"['reggaeton', 'trap latino', 'urbano latino']",LVEU: VIVE LA TUYA...NO LA MIA,92,0.8,0.738,7,-4.26,1,0.0691,0.372,0.00877,0.19,0.267,103.008,174230,4
spotify:track:6CvTEtGagmzQvkUzzyKR9k,HARLEY QUINN,spotify:artist:0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida,88,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']",Pa las Baby's Y Belikeada,94,0.815,0.741,1,-6.04,1,0.0569,0.0277,0.0183,0.219,0.591,125.031,143327,4
spotify:track:1yeB8MUNeLo9Ek1UEpsyz6,Rich Baby Daddy (feat. Sexyy Red & SZA),spotify:artist:3TVXtAsR1Inumwj472S9r4,Drake,96,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",For All The Dogs,93,0.645,0.729,2,-4.56,1,0.0528,0.0377,0.0,0.384,0.142,146.01,319192,4
spotify:track:1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,SZA,89,"['pop', 'r&b', 'rap']",SOS,91,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,153947,4
spotify:track:59NraMJsLaMCVtwXTSia8i,Prada,spotify:artist:5wCmhq5J2hPwL2r0eKurxn,cassö,74,['hypertechno'],Prada,94,0.638,0.717,8,-5.804,1,0.0375,0.001,1.79e-06,0.113,0.422,141.904,132359,4
